"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\__init__.py", "Python", 0, 1, 1, 2
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\deps.py", "Python", 214, 73, 42, 329
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\main.py", "Python", 49, 18, 19, 86
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_chat.py", "Python", 68, 31, 23, 122
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_health.py", "Python", 7, 2, 7, 16
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\schemas.py", "Python", 61, 15, 32, 108
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\config.py", "Python", 39, 32, 21, 92
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\exceptions.py", "Python", 25, 11, 24, 60
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\logging.py", "Python", 15, 6, 7, 28
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\types.py", "Python", 6, 5, 7, 18
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\catalog_models.py", "Python", 111, 60, 44, 215
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\execution_models.py", "Python", 112, 40, 36, 188
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\models.py", "Python", 68, 17, 19, 104
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\query_plan.py", "Python", 168, 84, 67, 319
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\semantic_models.py", "Python", 79, 31, 41, 151
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\__init__.py", "Python", 0, 0, 1, 1
