"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\__init__.py", "Python", 0, 0, 1, 1, 2
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\deps.py", "Python", 233, 0, 72, 42, 347
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\main.py", "Python", 65, 0, 19, 20, 104
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_chat.py", "Python", 68, 0, 31, 23, 122
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_health.py", "Python", 7, 0, 2, 7, 16
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_trace.py", "Python", 99, 0, 51, 38, 188
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\schemas.py", "Python", 61, 0, 15, 32, 108
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\config.py", "Python", 48, 0, 32, 22, 102
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\data_paths.py", "Python", 63, 0, 14, 27, 104
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\exceptions.py", "Python", 25, 0, 11, 24, 60
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\logging.py", "Python", 15, 0, 6, 7, 28
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\types.py", "Python", 6, 0, 5, 7, 18
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\catalog_models.py", "Python", 111, 0, 60, 44, 215
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\execution_models.py", "Python", 115, 0, 40, 36, 191
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\models.py", "Python", 68, 0, 17, 19, 104
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\query_plan.py", "Python", 168, 0, 84, 67, 319
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\semantic_models.py", "Python", 110, 0, 35, 46, 191
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\trace_models.py", "Python", 128, 0, 40, 22, 190
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\base.py", "Python", 13, 0, 5, 9, 27
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\in_memory.py", "Python", 21, 0, 17, 12, 50
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\json_file_catalog.py", "Python", 98, 0, 71, 29, 198
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\documents\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\documents\base.py", "Python", 8, 0, 24, 7, 39
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\documents\jsonl_loader.py", "Python", 85, 0, 58, 18, 161
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\documents\models.py", "Python", 33, 0, 86, 24, 143
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\__init__.py", "Python", 0, 0, 1, 1, 2
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\base.py", "Python", 14, 0, 13, 8, 35
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\null_embedding.py", "Python", 15, 0, 7, 10, 32
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\embedding\openai_compatible.py", "Python", 61, 0, 8, 18, 87
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\base.py", "Python", 7, 0, 3, 7, 17
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\mock_executor.py", "Python", 385, 0, 106, 41, 532
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\oracle_executor.py", "Python", 220, 0, 128, 26, 374
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\executor\sql_guard.py", "Python", 54, 0, 45, 14, 113
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\base.py", "Python", 14, 0, 15, 9, 38
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\mock_llm.py", "Python", 722, 0, 164, 117, 1003
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\openai_compatible.py", "Python", 538, 0, 61, 85, 684
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\prompts.py", "Python", 770, 0, 188, 119, 1077
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\base.py", "Python", 8, 0, 20, 7, 35
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\file_loader.py", "Python", 222, 0, 98, 42, 362
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\metadata\models.py", "Python", 41, 0, 31, 18, 90
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\base.py", "Python", 32, 0, 61, 20, 113
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\embedding_retriever.py", "Python", 109, 0, 24, 21, 154
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\gating_policy.py", "Python", 45, 0, 72, 15, 132
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\hybrid_retriever.py", "Python", 92, 0, 43, 20, 155
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_doc_retriever.py", "Python", 142, 0, 55, 40, 237
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\retrieval\in_memory_retriever.py", "Python", 298, 0, 81, 57, 436
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\__init__.py", "Python", 0, 0, 14, 1, 15
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\loader.py", "Python", 60, 0, 45, 18, 123
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\models.py", "Python", 92, 0, 37, 37, 166
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\registry.py", "Python", 156, 0, 119, 47, 322
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\semantic\repository.py", "Python", 311, 0, 32, 49, 392
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_embedding_indexer.py", "Python", 157, 0, 69, 38, 264
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\catalog_service.py", "Python", 58, 0, 33, 16, 107
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_decision_service.py", "Python", 275, 0, 2, 28, 305
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\document_retrieval_service.py", "Python", 285, 0, 46, 43, 374
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\example_embedding_indexer.py", "Python", 164, 0, 6, 31, 201
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\execution_risk.py", "Python", 156, 0, 1, 35, 192
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_column_resolution_service.py", "Python", 205, 0, 131, 51, 387
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\grounding_config_provider.py", "Python", 120, 0, 87, 47, 254
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\intent_guard.py", "Python", 346, 0, 22, 66, 434
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\metadata_ingestion_service.py", "Python", 132, 0, 61, 26, 219
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\narrator_service.py", "Python", 483, 0, 44, 52, 579
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\orchestrator.py", "Python", 822, 0, 105, 69, 996
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_generation_service.py", "Python", 18, 0, 2, 6, 26
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalization_service.py", "Python", 39, 0, 2, 10, 51
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_normalizer.py", "Python", 624, 0, 134, 81, 839
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\plan_repair_service.py", "Python", 14, 0, 2, 6, 22
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planner_service.py", "Python", 532, 0, 97, 57, 686
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_context_service.py", "Python", 197, 0, 7, 35, 239
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planning_models.py", "Python", 233, 0, 15, 68, 316
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\prompt_assembly_service.py", "Python", 106, 0, 8, 14, 128
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_plan_repair.py", "Python", 524, 0, 17, 76, 617
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding.py", "Python", 355, 0, 92, 74, 521
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_understanding_service.py", "Python", 5, 0, 2, 5, 12
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\registry_validator.py", "Python", 240, 0, 105, 45, 390
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\schema_retrieval_service.py", "Python", 39, 0, 31, 12, 82
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_embedding_indexer.py", "Python", 253, 0, 6, 37, 296
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_planning.py", "Python", 852, 0, 48, 147, 1047
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\semantic_resolution_service.py", "Python", 87, 0, 2, 14, 103
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\session_service.py", "Python", 47, 0, 22, 18, 87
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\sql_compiler.py", "Python", 546, 0, 160, 106, 812
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\trace_serializer.py", "Python", 319, 0, 51, 75, 445
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_repair_service.py", "Python", 298, 0, 22, 45, 365
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_service.py", "Python", 453, 0, 54, 58, 565
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_view.html", "HTML", 0, 775, 2, 96, 873
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_api_smoke.py", "Python", 234, 0, 51, 84, 369
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_clarification_reduction.py", "Python", 105, 0, 58, 43, 206
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_compiler_placeholders.py", "Python", 438, 0, 73, 54, 565
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_config_sprint3.py", "Python", 49, 0, 12, 12, 73
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_date_expression_compiler.py", "Python", 35, 0, 0, 10, 45
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_in_memory_retriever.py", "Python", 318, 0, 71, 73, 462
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retrieval_service.py", "Python", 142, 0, 7, 24, 173
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_document_retriever.py", "Python", 178, 0, 20, 32, 230
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_concurrency.py", "Python", 266, 0, 0, 41, 307
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_e2e_real_provider_eval_verdicts.py", "Python", 690, 0, 15, 84, 789
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_entity_retrieval.py", "Python", 144, 0, 31, 30, 205
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_execution_risk.py", "Python", 179, 0, 0, 43, 222
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_filter_column_resolution.py", "Python", 282, 0, 71, 81, 434
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_glossary_resolution.py", "Python", 100, 0, 31, 37, 168
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_hybrid_prompt.py", "Python", 149, 0, 18, 34, 201
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_index_build_scripts.py", "Python", 15, 0, 0, 9, 24
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_intent_guard.py", "Python", 65, 0, 0, 16, 81
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_json_file_catalog.py", "Python", 357, 0, 29, 52, 438
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_jsonl_loader.py", "Python", 336, 0, 37, 68, 441
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_metadata_ingestion.py", "Python", 397, 0, 42, 94, 533
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_executor.py", "Python", 338, 0, 91, 70, 499
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_llm_provider.py", "Python", 255, 0, 67, 99, 421
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_multi_table.py", "Python", 891, 0, 79, 166, 1136
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_leakage.py", "Python", 123, 0, 0, 35, 158
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_service.py", "Python", 223, 0, 32, 74, 329
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_oracle_executor.py", "Python", 211, 0, 28, 84, 323
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_execution_guard.py", "Python", 161, 0, 0, 31, 192
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_llm_flow.py", "Python", 149, 0, 43, 54, 246
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_orchestrator_smoke.py", "Python", 517, 0, 55, 120, 692
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_pipeline_live_view.py", "Python", 479, 0, 77, 138, 694
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_plan_normalizer.py", "Python", 457, 0, 36, 80, 573
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid.py", "Python", 458, 0, 62, 103, 623
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_hybrid_eval_coverage.py", "Python", 146, 0, 21, 37, 204
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_models.py", "Python", 152, 0, 27, 64, 243
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_service.py", "Python", 440, 0, 44, 122, 606
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planning_stages.py", "Python", 385, 0, 0, 51, 436
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_prompt_budget.py", "Python", 409, 0, 64, 64, 537
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair.py", "Python", 134, 0, 0, 35, 169
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_plan_repair_extended.py", "Python", 118, 0, 2, 28, 148
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_query_understanding.py", "Python", 188, 0, 38, 58, 284
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_registry_validator.py", "Python", 382, 0, 49, 64, 495
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_relationship_graph.py", "Python", 112, 0, 26, 27, 165
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_repair_engine_expansion.py", "Python", 47, 0, 0, 14, 61
