"filename", "language", "Python", "HTML", "comment", "blank", "total"
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\deps.py", "Python", 11, 0, 4, -1, 14
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\main.py", "Python", 26, 0, 8, 10, 44
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_chat.py", "Python", 384, 0, -12, 66, 438
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_trace.py", "Python", 14, 0, -49, -8, -43
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_viewer.py", "Python", 123, 0, 28, 40, 191
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\schemas.py", "Python", 32, 0, 12, 10, 54
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\models.py", "Python", 17, 0, 18, 12, 47
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\trace_models.py", "Python", 39, 0, 1, 3, 43
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\openwebui_clarification_ui.py", "Python", 439, 0, 12, 62, 513
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\catalog\in_memory.py", "Python", 172, 0, 7, 6, 185
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\base.py", "Python", 0, 0, 3, 0, 3
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\mock_llm.py", "Python", 8, 0, 2, 2, 12
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\openai_compatible.py", "Python", -9, 0, 0, 0, -9
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\llm\prompts.py", "Python", 9, 0, 0, 0, 9
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\providers\run_store.py", "Python", 558, 0, 79, 63, 700
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_decision_service.py", "Python", 9, 0, 5, 2, 16
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\clarification_state_manager.py", "Python", 262, 0, 47, 37, 346
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\document_retrieval_service.py", "Python", -1, 0, 0, 0, -1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_column_resolution_service.py", "Python", 120, 0, -2, 3, 121
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_value_profile_provider.py", "Python", 147, 0, 0, 22, 169
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\filter_value_resolution_service.py", "Python", 631, 0, 32, 53, 716
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\grounding_config_provider.py", "Python", 19, 0, 15, 3, 37
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\narrator_service.py", "Python", 29, 0, 12, 11, 52
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\orchestrator.py", "Python", 436, 0, 19, 43, 498
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\planner_service.py", "Python", 29, 0, -1, 2, 30
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\prompt_assembly_service.py", "Python", -1, 0, 0, 0, -1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\query_plan_repair.py", "Python", -1, 0, 0, 0, -1
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\session_service.py", "Python", -4, 0, -15, -2, -21
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\sql_compiler.py", "Python", -3, 0, 0, 0, -3
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\trace_serializer.py", "Python", 84, 0, 7, 3, 94
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\services\validation_repair_service.py", "Python", -59, 0, -7, -3, -69
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_live_view.html", "HTML", 0, 1029, 3, 51, 1083
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_view.html", "HTML", 0, -698, -2, -88, -788
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\static\pipeline_view_legacy.html", "HTML", 0, 1335, 0, 175, 1510
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_chat_clarification_contract.py", "Python", 84, 0, 1, 18, 103
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_filter_column_resolution.py", "Python", 283, 0, -45, 15, 253
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_filter_value_resolution.py", "Python", 244, 0, 7, 58, 309
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_grounding_workflow.py", "Python", 896, 0, 88, 206, 1190
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_mock_llm_provider.py", "Python", 8, 0, 0, 1, 9
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_narrator_service.py", "Python", 21, 0, 10, -2, 29
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openai_provider_connectivity.py", "Python", 44, 0, 0, 16, 60
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openwebui_chat_integration.py", "Python", 301, 0, 6, 44, 351
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_openwebui_clarification_ui.py", "Python", 176, 0, 0, 26, 202
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_pipeline_live_view.py", "Python", 119, 0, 0, 23, 142
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_planner_service.py", "Python", 33, 0, 0, 7, 40
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_run_store.py", "Python", 188, 0, 16, 53, 257
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_startup_wiring.py", "Python", 47, 0, 2, 17, 66
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_validation_service.py", "Python", 1, 0, -1, 0, 0
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_viewer_api.py", "Python", 82, 0, 11, 25, 118
"c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\turkish.py", "Python", -4, 0, -10, 1, -13
"Total", "-", 6043, 1666, 311, 1085, 9105
