Date : 2026-03-29 18:46:47
Directory : c:\Users\furkan.kiraz\Desktop\nl2sql\app
Total : 176 files,  39356 codes, 6082 comments, 7801 blanks, all 53239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        173 |     36,915 |      6,079 |      7,567 |     50,561 |
| HTML     |          3 |      2,441 |          3 |        234 |      2,678 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        176 |     39,356 |      6,082 |      7,801 |     53,239 |
| . (Files)                                                                                 |          2 |        439 |         13 |         63 |        515 |
| api                                                                                       |          8 |      1,123 |        181 |        280 |      1,584 |
| core                                                                                      |          6 |        157 |         68 |         88 |        313 |
| domain                                                                                    |          7 |        756 |        295 |        250 |      1,301 |
| providers                                                                                 |         35 |      4,785 |      1,576 |        872 |      7,233 |
| providers (Files)                                                                         |          2 |        558 |         79 |         64 |        701 |
| providers\catalog                                                                         |          4 |        304 |        100 |         57 |        461 |
| providers\documents                                                                       |          4 |        126 |        168 |         50 |        344 |
| providers\embedding                                                                       |          4 |         90 |         29 |         37 |        156 |
| providers\executor                                                                        |          5 |        666 |        282 |         89 |      1,037 |
| providers\llm                                                                             |          5 |      2,052 |        433 |        333 |      2,818 |
| providers\metadata                                                                        |          4 |        271 |        149 |         68 |        488 |
| providers\retrieval                                                                       |          7 |        718 |        336 |        174 |      1,228 |
| semantic                                                                                  |          5 |        619 |        247 |        152 |      1,018 |
| services                                                                                  |         37 |     10,681 |      1,598 |      1,666 |     13,945 |
| static                                                                                    |          3 |      2,441 |          3 |        234 |      2,678 |
| tests                                                                                     |         69 |     18,160 |      2,064 |      4,132 |     24,356 |
| utils                                                                                     |          4 |        195 |         37 |         64 |        296 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\__init__.py                                      | Python   |          0 |          1 |          1 |          2 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\__init__.py                                  | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\deps.py                                      | Python   |        244 |         76 |         41 |        361 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\main.py                                      | Python   |         91 |         27 |         30 |        148 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_chat.py                               | Python   |        452 |         19 |         89 |        560 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_health.py                             | Python   |          7 |          2 |          7 |         16 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_trace.py                              | Python   |        113 |          2 |         30 |        145 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\routes_viewer.py                             | Python   |        123 |         28 |         40 |        191 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\api\schemas.py                                   | Python   |         93 |         27 |         42 |        162 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\__init__.py                                 | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\config.py                                   | Python   |         48 |         32 |         22 |        102 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\data_paths.py                               | Python   |         63 |         14 |         27 |        104 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\exceptions.py                               | Python   |         25 |         11 |         24 |         60 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\logging.py                                  | Python   |         15 |          6 |          7 |         28 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\core\types.py                                    | Python   |          6 |          5 |          7 |         18 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\__init__.py                               | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\catalog_models.py                         | Python   |        111 |         60 |         44 |        215 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\execution_models.py                       | Python   |        115 |         40 |         36 |        191 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\models.py                                 | Python   |         85 |         35 |         31 |        151 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\domain\query_plan.py                             | Python   |        168 |         84 |         67 |        319 |
